Level,WL,Hanzi,Pinyin,Sino_Vietnamese,Traditional,Freq,Examples,Viet_Meaning,English_Meaning,,,,,,,,,,,,,,,,,,,,,,,
1,2,读,dú,"độc, đậu",讀,11,读 读书 读音 读者 阅读,"Đọc, đọc cho rành rọt từng câu từng chữ gọi là độc",comma, phrase marked by pause,,,,,,,,,,,,,,,,,,,,,,
1,1,对,duì,đối,對,37,不对 对 对不起 对话 对面,"Thưa, đáp",right, correct, towards, at, for, concerning, regarding, to treat (sb a certain way), to face, (bound form) opposite, facing, matching, to match together, to adjust, to fit, to suit, to answer, to reply, to add, to pour in (a fluid), to check, to compare, classifier: couple, pair
1,1,多,duō,đa,多,34,多 多少 差不多 大多数 多久,Nhiều,many, much, too many, in excess, (after a numeral) ... odd, how (to what extent) (Taiwan pr. [duó]), (bound form) multi-, poly-,,,,,,,,,,,,,,,,
1,1,饿,è,ngạ,餓,3,饿 饥饿 忍饥挨饿,Đói quá,to be hungry, hungry, to starve (sb),,,,,,,,,,,,,,,,,,,,,
1,1,儿,ér,nhân,兒,67,儿子 好玩儿 没事儿 面条儿 哪儿,Người,,,,,,,,,,,,,,,,,,,,,,,,
1,1,二,èr,nhị,二,9,第二 二 二手 二维码 独一无二,"Hai, tên số đếm",two,2, (Beijing dialect) stupid,,,,,,,,,,,,,,,,,,,,,
1,1,饭,fàn,"phạn, phãn",飯,14,吃饭 饭 饭店 米饭 晚饭,Cơm,cooked rice, meal, (loanword) fan, devotee,,,,,,,,,,,,,,,,,,,,
1,1,方,fāng,phương,方,41,地方 北方 东方 方便 方便面,"Vuông, vật gì hình thể ngay thẳng đều gọi là phương, người nào tính hạnh ngay thẳng gọi là phương chánh 方正",surname Fang,,,,,,,,,,,,,,,,,,,,,,,
1,1,房,fáng,"phòng, bàng",房,16,房间 房子 住房 房东 房屋,Cái buồng,,,,,,,,,,,,,,,,,,,,,,,,
1,1,放,fàng,"phóng, phỏng",放,28,放 放假 放学 放下 放心,"Buông, thả",to put, to place, to release, to free, to let go, to let out, to set off (fireworks),,,,,,,,,,,,,,,,,
1,1,飞,fēi,phi,飛,11,飞 飞机 起飞 飞行 飞船,Bay,to fly,,,,,,,,,,,,,,,,,,,,,,,
1,1,非,fēi,phi,非,14,非常 非 除非 并非 非金属,"Trái, không phải, sự vật gì có nghĩa nhất định, nếu không đúng hết đều gọi là phi","abbr. for 洲, Africa",,,,,,,,,,,,,,,,,,,,,,,
1,1,分,fēn,"phân, phận",分,58,分 部分 大部分 分开 分数,Chia,to divide, to separate, to distribute, to allocate, to distinguish (good and bad), (bound form) branch of (an organization), sub- (as in 局), fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money),,,,,,,,,,
1,2,风,fēng,phong,風,40,风 一路顺风 风险 风格 风景,"Gió, không khí động mạnh thành ra gió",wind, news, style, custom, manner,,,,,,,,,,,,,,,,,,,
1,1,服,fú,phục,服,21,衣服 服务 舒服 服装 克服,Áo mặc,"clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to be convinced (by an argument); to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes",,,,,,,,,,,,,,,,,,,,,,,
1,1,干,gàn,can,乾/幹/干,22,干 干净 干什么 干杯 干活儿,Phạm,old variant of 干,,,,,,,,,,,,,,,,,,,,,,,
1,1,高,gāo,cao,高,51,高 高兴 高级 高中 提高,Cao,surname Gao,,,,,,,,,,,,,,,,,,,,,,,
